Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US27153,27153,"Todd County, Minnesota",24335,,23266,230,69,27,58,32,116,30,0,16,345,208,481,71,47,32,434,59
0500000US27155,27155,"Traverse County, Minnesota",3397,,3149,22,15,12,137,54,0,9,0,9,16,21,80,51,3,5,77,51
0500000US27157,27157,"Wabasha County, Minnesota",21327,,20755,57,46,31,51,37,88,20,0,16,62,41,325,38,0,16,325,38
0500000US27159,27159,"Wadena County, Minnesota",13755,,13260,25,111,49,119,42,35,29,0,14,28,19,202,65,0,14,202,65
0500000US27161,27161,"Waseca County, Minnesota",19034,,17752,130,509,82,133,61,93,56,0,14,225,92,322,125,87,75,235,86
0500000US27163,27163,"Washington County, Minnesota",248745,,216007,472,9796,399,944,182,12605,655,111,74,1910,432,7372,854,935,406,6437,686
0500000US27165,27165,"Watonwan County, Minnesota",10996,,9970,341,70,44,50,34,131,21,0,14,691,342,84,49,12,11,72,49
0500000US27167,27167,"Wilkin County, Minnesota",6479,,6174,66,47,39,99,74,0,12,0,12,7,6,152,63,4,4,148,62
0500000US27169,27169,"Winona County, Minnesota",51145,,48034,132,755,94,170,59,1342,95,12,16,232,122,600,145,75,62,525,119
0500000US27171,27171,"Wright County, Minnesota",129922,,123077,382,1480,283,419,126,1412,228,9,11,1195,347,2330,449,353,222,1977,400
0500000US27173,27173,"Yellow Medicine County, Minnesota",10038,,9288,60,24,18,331,99,61,15,0,14,134,46,200,68,3,5,197,67
